Date,Open,High,Low,Close,Adj Close,Volume
2021-06-15,83.996880,84.746292,83.122559,84.558937,83.915627,6088897
2021-06-16,84.309135,85.245903,82.997658,83.934425,83.295876,11229774
2021-06-17,83.747070,84.371582,80.624512,81.186569,80.568924,12331771
2021-06-18,80.187355,81.311478,79.625290,79.812645,79.205444,13140610
2021-06-21,80.499611,82.373146,80.312256,82.373146,81.746475,8639400
2021-06-22,81.935989,82.435600,80.811867,81.373924,80.754852,6127760
2021-06-23,81.311478,82.373146,80.811867,80.874313,80.259041,6993860
2021-06-24,81.561279,82.435600,80.686966,82.123344,81.498566,7657242
2021-06-25,82.185791,82.685402,81.811089,82.185791,81.622604,5462760
2021-06-28,82.185791,82.248245,79.875099,80.499611,79.947983,9893739
2021-06-29,81.561279,82.622948,80.936768,81.748634,81.188446,11080202
2021-06-30,82.123344,84.496490,81.498833,84.059326,83.483307,10976857
2021-07-01,84.808746,85.121002,83.434814,84.184235,83.607361,7476733
2021-07-02,84.558937,84.558937,83.122559,83.434814,82.863075,5309729
2021-07-06,82.935204,83.185013,80.062454,80.686966,80.134056,11311038
2021-07-07,80.437157,81.686180,79.562843,81.061668,80.506195,9777313
2021-07-08,79.500389,80.811867,78.750977,80.374710,79.823936,8618376
2021-07-09,81.249023,82.373146,80.811867,82.185791,81.622604,6616733
2021-07-12,81.561279,82.060890,80.562057,81.873535,81.312500,8928362
2021-07-13,81.748634,81.748634,80.437157,80.499611,79.947983,6310782
2021-07-14,80.437157,81.061668,79.437943,80.000000,79.451797,7159173
2021-07-15,79.250587,80.686966,78.501167,79.687744,79.141678,8228952
2021-07-16,79.937546,80.374710,78.188911,78.376266,77.839195,7295903
2021-07-19,76.128021,76.440285,73.817329,74.941452,74.427917,15835914
2021-07-20,75.003906,79.562843,74.878998,79.313034,78.769531,12029054
2021-07-21,79.875099,81.873535,79.750198,81.686180,81.126419,10812569
2021-07-22,81.498833,81.561279,79.313034,79.313034,78.769531,6953108
2021-07-23,79.937546,80.437157,78.875877,79.375488,78.831566,6049410
2021-07-26,79.063232,80.811867,78.875877,80.686966,80.134056,8619353
2021-07-27,83.247459,84.121780,79.937546,81.686180,81.126419,19126019
2021-07-28,82.123344,84.184235,81.436378,81.998436,81.436531,10979499
2021-07-29,82.373146,83.559715,81.748634,82.997658,82.428925,8691025
2021-07-30,82.185791,82.560501,80.686966,80.874313,80.320122,9617540
2021-08-02,81.561279,83.692429,78.399689,78.532394,77.994247,31878326
2021-08-03,78.220139,80.562057,76.588600,80.452774,79.901466,18497640
2021-08-04,79.476974,80.757217,79.203751,80.335678,79.785172,18118848
2021-08-05,80.405930,81.686180,80.031227,80.421547,79.870453,10415555
2021-08-06,80.686966,82.170181,80.686966,81.592506,81.033386,14075884
2021-08-09,80.843094,81.397346,79.648712,80.960190,80.405396,10189971
2021-08-10,81.038254,83.005463,80.562057,82.810303,82.242844,10319864
2021-08-11,82.911789,82.911789,81.046059,82.779076,82.211830,10638833
2021-08-12,82.896172,83.708038,82.154564,83.153786,82.583969,8196735
2021-08-13,83.138176,83.231850,81.639343,81.904762,81.343513,7199092
2021-08-16,81.366119,81.420769,79.812645,80.679153,80.126289,8859652
2021-08-17,80.046837,80.616707,78.345039,79.328651,78.785042,10475249
2021-08-18,78.907104,80.772835,78.657295,79.164719,78.622238,8322017
2021-08-19,78.064011,78.704140,76.971115,77.611244,77.079414,13842102
2021-08-20,77.743950,78.587044,77.361435,78.103043,77.567833,8142933
2021-08-23,78.532394,79.219360,78.274788,78.821236,78.281120,7695479
2021-08-24,79.071037,80.804062,78.891495,80.616707,80.064285,8784714
2021-08-25,80.686966,82.068695,80.054642,81.733025,81.172943,10077755
2021-08-26,81.545670,81.670570,80.281029,80.702576,80.149567,10461287
2021-08-27,81.108505,82.864952,81.108505,82.818108,82.250595,9954651
2021-08-30,83.005463,83.106949,81.811089,82.115532,81.552818,9153642
2021-08-31,81.920372,83.028885,81.545670,82.287277,81.723396,14079215
2021-09-01,82.248245,82.334114,80.608902,80.921158,80.366638,10207136
2021-09-02,81.186569,83.013268,81.170959,82.950821,82.382401,10880430
2021-09-03,82.747856,83.809525,81.249023,81.772057,81.211716,9757249
2021-09-07,81.576897,81.920372,79.867294,80.632317,80.079773,14077550
2021-09-08,80.366898,81.756439,78.391884,80.078064,79.529335,15373665
2021-09-09,79.906326,81.904762,79.711166,80.632317,80.079773,12024107
2021-09-10,80.632317,81.147537,79.453552,79.625290,79.079659,12250972
2021-09-13,80.132706,81.857925,79.640907,81.545670,80.986877,15992260
2021-09-14,81.608116,81.615929,78.118660,78.360657,77.823692,20524951
2021-09-15,78.680717,79.992195,78.602654,79.750198,79.203705,10380840
2021-09-16,79.929741,80.171738,78.704140,79.110069,78.567970,7662814
2021-09-17,78.961746,79.516006,78.165497,78.430916,77.893471,13729758
2021-09-20,76.893051,77.962532,75.932861,77.915688,77.381767,12942968
2021-09-21,77.985947,78.056206,75.105385,75.581573,75.063660,20225197
2021-09-22,76.245117,77.306793,76.237312,76.924278,76.397163,14367824
2021-09-23,77.697113,81.249023,77.689308,80.374710,79.823936,14861009
2021-09-24,80.140518,81.342705,80.093674,81.030441,80.537758,8402720
2021-09-27,81.615929,83.005463,81.491020,82.240440,81.740395,10352402
2021-09-28,82.193596,83.333336,81.756439,82.537079,82.035233,16078728
2021-09-29,82.747856,83.528496,82.209213,82.966431,82.461983,9478375
2021-09-30,83.028885,83.598747,80.366898,80.429352,79.940315,11457520
2021-10-01,81.327087,83.052299,80.928963,82.607338,82.105064,10369055
2021-10-04,82.279472,83.590942,81.654961,81.889153,81.391251,9807592
2021-10-05,82.014053,82.747856,80.991409,81.889153,81.391251,7349353
2021-10-06,80.936768,81.514442,79.672134,81.444183,80.948975,8984806
2021-10-07,81.842308,83.161591,81.444183,82.365341,81.864540,8526977
2021-10-08,82.256050,82.919594,81.701797,81.748634,81.251595,5474482
2021-10-11,81.842308,82.560501,81.163155,81.249023,80.755005,5280026
2021-10-12,80.843094,81.217796,79.281815,80.187355,79.699791,10952038
2021-10-13,79.781418,80.562057,78.985168,79.906326,79.420471,9629277
2021-10-14,80.515221,80.913345,79.914131,80.202965,79.715317,7864187
2021-10-15,80.913345,82.669792,80.554253,81.506638,81.011055,7238034
2021-10-18,80.936768,81.631538,80.437157,81.280251,80.786049,5310386
2021-10-19,81.639343,81.943794,80.858704,81.756439,81.259338,5401208
2021-10-20,81.772057,82.763466,81.085091,82.747856,82.244736,7824220
2021-10-21,82.560501,83.052299,80.413742,80.523026,80.033424,9248308
2021-10-22,80.444962,81.584702,80.054642,81.225601,80.731728,6859755
2021-10-25,80.905540,82.740044,80.663544,82.201408,81.701599,8321632
2021-10-26,82.560501,86.627632,82.138954,83.871979,83.362015,14988981
2021-10-27,84.215454,84.527710,80.944572,81.069473,80.576553,11508888
2021-10-28,80.710381,82.263855,80.483994,82.170181,81.670563,7571735
2021-10-29,81.928185,82.154564,81.280251,81.865730,81.367973,7197555
2021-11-01,82.560501,83.348946,82.185791,82.927399,82.423187,6260375
2021-11-02,83.013268,83.637779,82.201408,83.286491,82.780090,5739905
2021-11-03,82.872757,83.013268,81.826698,82.724434,82.221443,5267088
2021-11-04,82.646370,83.060112,81.412956,82.131149,81.631775,5989700
2021-11-05,83.473846,85.597191,83.411400,84.886810,84.370682,9738546
2021-11-08,85.402031,86.112411,84.558937,84.637001,84.122383,6628535
2021-11-09,89.562843,90.686966,86.245117,86.877441,86.349197,32183460
2021-11-10,87.822014,87.962532,84.395004,85.058548,84.541367,11135221
2021-11-11,84.738487,85.558159,83.356750,83.528496,83.020622,7061897
2021-11-12,83.840752,84.254486,83.106949,83.989075,83.478394,9768650
2021-11-15,84.332550,84.832161,82.903984,83.270882,82.764572,7845997
2021-11-16,82.864952,82.911789,80.265419,80.679153,80.188606,15369054
2021-11-17,80.952377,81.092896,79.172523,79.617485,79.133392,10642036
2021-11-18,79.180328,79.469162,77.423889,78.587044,78.109215,10928083
2021-11-19,77.907883,78.641685,77.517563,78.032784,77.558311,8458827
2021-11-22,78.430916,79.601875,78.282593,78.875877,78.396301,7950655
2021-11-23,79.453552,79.789230,78.961746,79.687744,79.203224,7700603
2021-11-24,79.516006,79.875099,79.086655,79.804840,79.319595,7137860
2021-11-26,75.456673,76.580795,74.558937,76.377831,75.913429,11026336
2021-11-29,77.494148,78.399689,75.589386,76.814987,76.347931,12523825
2021-11-30,75.441063,76.057770,73.747070,74.153008,73.702141,14615441
2021-12-01,75.370804,75.636223,72.552696,72.599533,72.158104,11089745
2021-12-02,73.536301,74.769714,72.451210,74.340363,73.888344,7807183
2021-12-03,74.262299,74.434036,71.608116,72.419983,71.979645,10354067
2021-12-06,73.263077,75.636223,72.786888,74.949257,74.493546,8556952
2021-12-07,75.409836,76.760345,75.175644,76.151443,75.688423,6467769
2021-12-08,76.151443,77.236534,75.706482,76.721313,76.254837,6093461
2021-12-09,76.323189,76.651054,75.722092,76.370026,75.905678,5209443
2021-12-10,76.572990,76.939888,75.292740,75.683060,75.222885,5477940
2021-12-13,74.918030,75.253708,72.459015,72.701012,72.258965,9451987
2021-12-14,72.404373,73.427010,71.600311,71.904762,71.467560,9301085
2021-12-15,71.990631,72.138954,70.398125,71.881340,71.444283,9856655
2021-12-16,72.224823,73.645592,71.975021,72.232628,71.793434,9130199
2021-12-17,72.170181,72.654175,70.343483,71.389542,70.955475,11612265
2021-12-20,70.257614,70.335678,68.829041,70.241997,69.876030,7702909
2021-12-21,70.819672,73.122559,70.819672,72.646370,72.267876,9758274
2021-12-22,72.537079,73.153786,71.943794,72.654175,72.275642,5974456
2021-12-23,72.833725,73.801720,72.833725,73.380173,72.997856,4977326
2021-12-27,73.091331,73.903198,72.950821,73.864166,73.479340,4392421
2021-12-28,73.715843,75.003906,73.567528,74.395004,74.007408,5190484
2021-12-29,74.160812,74.535522,73.723656,73.996880,73.611351,4471331
2021-12-30,73.895393,74.925842,73.793915,73.926620,73.541458,4187589
2021-12-31,73.770493,74.137390,73.302109,73.747070,73.362846,4862292
2022-01-03,74.332550,76.065575,73.965652,75.128807,74.737381,5917964
2022-01-04,77.111633,78.103043,76.572990,77.572212,77.168068,9766472
2022-01-05,77.853241,79.461357,77.509758,77.572212,77.168068,7551111
2022-01-06,78.415298,78.907104,77.611244,78.024979,77.618477,5478837
2022-01-07,77.907883,79.812645,77.884468,79.156906,78.744492,8004072
2022-01-10,79.406715,79.625290,77.236534,77.611244,77.206886,7389705
2022-01-11,78.290398,79.914131,78.040596,79.461357,79.047363,7268266
2022-01-12,79.180328,80.109291,79.141296,79.812645,79.396820,5839439
2022-01-13,79.851677,80.913345,79.469162,79.984390,79.567673,5613983
2022-01-14,79.359879,80.616707,78.774399,80.530838,80.111275,5611164
2022-01-18,80.062454,80.975800,79.750198,80.320061,79.901596,10773979
2022-01-19,80.163933,80.398125,78.430916,78.548012,78.138779,7300419
2022-01-20,78.243561,79.461357,76.479317,76.697891,76.298302,7219076
2022-01-21,76.268539,76.775955,74.832161,75.175644,74.783981,10347149
2022-01-24,73.840752,76.065575,72.045280,75.651833,75.257683,12647697
2022-01-25,71.131927,72.099922,68.930527,71.124123,70.753571,26839512
2022-01-26,71.436378,71.748634,68.735359,69.726776,69.363503,13626253
2022-01-27,70.257614,71.639343,68.750977,70.179550,69.813911,9997693
2022-01-28,69.711166,71.943794,69.359879,71.896957,71.522377,8299087
2022-01-31,71.514442,73.817329,71.061668,73.754883,73.370621,8969050
